Stadsdel ◄,Lägenhet,Bos.t. ◄,m2 ◄,Sk.fr. pris € ◄,€/m2 ◄,Br ◄,Vån ◄,Hiss ◄,Skick ◄,Tomt ◄,Energik. ◄
Itäinen keskusta,2h+k,kt,"59,00",150000,2542,1977,4/6,ja,nöjaktig,egen,F2013
Luolavuori,"2h,k,p",kt,"53,50",120000,2243,1968,4/8,ja,bra,egen,E2013
Port arthur,2 h+k,kt,"56,00",173000,3089,1952,1/4,nej,,egen,F2013
Kupittaa,2h+kk+parv,kt,"36,00",150000,4167,1962,4/8,ja,nöjaktig,egen,F2013
Kakola,"2 h, kt, ph, p,...",kt,"37,50",180000,4800,2017,1/6,ja,bra,egen,C2013
Satama,"2 h,kt,vh,s",kt,"50,00",215000,4300,2019,3/7,ja,,egen,B2013
Itäinen keskusta,"2h, k",kt,"52,00",145000,2788,1962,4/7,ja,nöjaktig,egen,F2013
Keskusta,"2h, k, kph/wc, ...",kt,"41,00",147915,3608,1962,3/7,ja,nöjaktig,egen,D2013
Ilpoinen,"2 h, kk",kt,"47,50",83500,1758,1972,1/3,nej,bra,egen,D2018
Härkämäki,"2h,k,kph,p",kt,"65,00",72000,1108,1980,6/8,ja,bra,egen,B2013
Martti,"2h, k, s, p",kt,"54,00",202000,3741,2011,3/6,ja,bra,egen,E2007
Kakolanmäki,"2 h,kt,vh",kt,"40,00",174100,4353,2020,3/6,ja,,hyrd,B2018
Runosmäki,2h+k+kph+p (las...,kt,"61,00",94500,1549,1975,2/3,nej,bra,egen,E2007
Keskusta,"2 h, k, kph",kt,"73,00",185000,2534,1923,5/5,nej,nöjaktig,egen,
Nättinummi,2h+k+kph,kt,"60,50",92000,1521,1977,4/4,nej,bra,egen,D2013
Satama,"2 h,k,s,parveke...",kt,"60,00",269000,4483,2020,1/7,ja,,egen,A2018
Satama,"2 h,k,vh,parveke",kt,"57,00",259000,4544,2020,3/6,ja,,egen,A2018
Keskusta / linnanfältti,"2 h,kt,p",kt,"36,00",158890,4414,2020,1/4,ja,,hyrd,B2018
Uittamo,"2h, k, p",kt,"59,00",86000,1458,1969,1/3,nej,nöjaktig,egen,D
Keskusta,"2h, k,p",kt,"54,00",190000,3519,1961,4/8,nej,bra,egen,D2013
Keskusta / linnanfältti,"2 h,kt",kt,"39,00",170490,4372,2020,3/3,ja,,hyrd,B2018
Itäharju,"2h,kt,kph,s,p",kt,"42,00",165000,3929,2012,3/3,ja,bra,egen,A2007
Keskusta / linnanfältti,"2 h,kt,vh",kt,"45,00",189890,4220,2020,2/3,ja,,hyrd,B2018
Keskusta / linnanfältti,"2 h,kt,vh",kt,"45,00",191890,4264,2020,3/3,ja,,hyrd,B2018
Vasaramäki,"2h, kk",kt,"39,00",74100,1900,1961,1/4,nej,nöjaktig,hyrd,F2007
Vasaramäki,"2h,k,p",kt,"47,00",89300,1900,1961,4/4,nej,nöjaktig,hyrd,F2007
Luolavuori,"2h, k, kph, las...",kt,"53,00",147000,2774,1961,2/4,nej,bra,egen,G2013
Martti,"2h,k,kh,vh,lasi...",kt,"55,50",162000,2919,1975,6/6,ja,nöjaktig,egen,D2007
Runosmäki,"2h,k,kph,las.p",kt,"57,00",61000,1070,1975,2/6,ja,nöjaktig,egen,D2007
