"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Telakanranta","2h, kk, s, parveke","kt","46,50",278000,5978,2015,"5/7","on","hyvä","oma","C2013"
"Runosmäki","2h, kt, kph, la...","kt","60,50",78000,1289,1977,"5/6","on","hyvä","oma","C2007"
"Runosmäki","2h, kk","kt","42,00",61500,1464,1978,"5/6","on","hyvä","oma","C2007"
"Satama","2 h,kt","kt","40,00",189600,4740,2019,"5/7","on"," ","oma","B2013"
"Keskusta","2h, k, s, p","kt","65,50",263000,4015,2006,"5/8","on","hyvä","oma","E2013"
"Satama","2 h,kt,vh,s","kt","50,00",225000,4500,2019,"5/6","on"," ","oma","B2013"
"Keskusta","2h+kk+kh+pv","kt","41,50",130000,3133,1965,"5/9","on","tyyd.","oma",
"Keskusta","2h+keittiö...","kt","54,00",150000,2778,1965,"5/7","on","tyyd.","oma","F2013"
"Satama","1 h,tk,parveke","kt","28,00",151500,5411,2020,"5/6","on"," ","oma","A2018"
"Kakolanmäki","2 h,kt,vh","kt","40,00",187900,4698,2020,"5/6","on"," ","vuokra","B2018"
"Satama","1 h,tk,parveke","kt","28,00",153000,5464,2020,"5/7","on"," ","oma","A2018"
"Hannunniittu","2h+k","kt","53,00",114000,2151,1971,"5/6","on","tyyd.","oma","F2013"
"Keskusta","2h+kk","kt","50,50",194000,3842,1959,"5/7","on","hyvä","oma","G2013"
"Martti","2h + k + vh + k...","kt","56,00",200500,3580,1957,"5/6","on","hyvä","oma","F2013"
"Satama","2 h,k,vh,parveke","kt","57,00",265000,4649,2020,"5/6","on"," ","oma","A2018"
"Itäinen keskusta","2h+k+kh","kt","70,00",260200,3717,1924,"5/5","on","hyvä","oma","F"
"Kakolanmäki","2H,KT,P","kt","38,00",192600,5068,2022,"4/6","ei","hyvä","vuokra","B2018"
"Martti","2h+k","kt","61,00",185000,3033,1950,"4/5","on","hyvä","oma","D2007"
"Martti","2h, k, las.p","kt","49,00",215000,4388,1963,"4/9","on","hyvä","oma","D"
"It. keskusta","2h, kk","kt","37,00",182000,4919,1963,"4/7","on","hyvä","oma","D"
"Satama","2 h,k,vh,parveke","kt","50,00",230000,4600,2020,"4/7","on"," ","oma","A2018"
"Kähäri","2h, kt, kh, s, ...","kt","38,50",173000,4494,2012,"4/5","on","hyvä","oma","C2018"
"Mäntymäki","2h+kt","kt","42,00",201838,4806,2015,"4/7","on","hyvä","oma","B2018"
"Kastu","2h+k+p","kt","53,00",145000,2736,1963,"4/7","on","hyvä","oma","G"
"Satama","2 h,k,s,p","kt","54,00",254000,4704,2022,"4/6","on"," ","oma","A2018"
"Uittamo","2h,k,las.p","kt","56,00",115000,2054,1974,"4/7","on","hyvä","oma","D2013"
"Keskusta","2h,k","kt","57,00",158000,2772,1969,"4/7","on","hyvä","oma","F2013"
"Ispoinen","2h+k+s","kt","57,00",190000,3333,2006,"4/8","on","hyvä","oma","C2013"
"Itäinen keskusta","2h+keittiö...","kt","47,00",170200,3621,1960,"4/7","on","tyyd.","oma","D2007"
"Kakola","2H+KT","kt","39,50",180463,4569,2020,"4/6","on","hyvä","vuokra","B2018"
"Vasaramäki","2h,k,p","kt","49,00",93100,1900,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Keskusta","2h, k, kph, p.","kt","66,00",213000,3227,1955,"4/8","on","tyyd.","oma","F2013"
"Satama","2 h,k,vh,s","kt","56,00",243500,4348,2019,"4/6","on"," ","oma","B2013"
"Länsikeskus","2h, k, s, p","kt","56,00",173000,3089,2005,"4/6","on","hyvä","oma","C2018"
"Keskusta","2 h,kk","kt","54,00",180000,3333,1956,"4/8","on","hyvä","oma","D2007"
"Nättinummi","2h+k+parv","kt","60,50",104000,1719,1980,"4/4","on","hyvä","oma","D2007"
